route_long_name,route_type,route_text_color,route_color,agency_id,route_id,route_url,route_desc,route_short_name
DOWNTOWN SHUTTLE,3,FFFFFF,ED82B3,DART,D-LINE,,,D-LINE
UNIVERSITY / INGERSOLL,3,FFFFFF,1B3E93,DART,60,,,60
SHUTTLE,3,FFFFFF,171F69,DART,LINK,,,LINK
FAIRGROUNDS,3,FFFFFF,00ADEF,DART,1,,,1
UNIVERSITY,3,FFFFFF,DB62A4,DART,3,,,3
FRANKLIN AVE / JOHNSTON,3,FFFFFF,8077B7,DART,5,,,5
E 14TH ST,3,FFFFFF,008F62,DART,4,,,4
SW 9TH ST,3,FFFFFF,A0CE66,DART,7,,,7
INDIANOLA AVE,3,FFFFFF,F68E1E,DART,6,,,6
FLEUR DR,3,FFFFFF,DD9AA5,DART,8,,,8
ALTOONA EXPRESS,3,FFFFFF,72CC85,DART,99,,,99
ANKENY EXPRESS,3,FFFFFF,72CC85,DART,98,,,98
NW URBANDALE,3,FFFFFF,008F64,DART,74,,,74
WEST DES MOINES LOOP,3,FFFFFF,542888,DART,72,,,72
NW 86TH EXPRESS,3,FFFFFF,72CC85,DART,93,,,93
HICKMAN EXPRESS,3,FFFFFF,72CC85,DART,92,,,92
VISTA EXPRESS,3,FFFFFF,72CC85,DART,95,,,95
WESTOWN EXPRESS,3,FFFFFF,72CC85,DART,94,,,94
EP TRUE EXPRESS,3,FFFFFF,72CC85,DART,96,,,96
INGERSOLL / VALLEY JUNCTION,3,000000,FFD07B,DART,11,,,11
EAST UNIVERSITY,3,FFFFFF,DE7D62,DART,10,,,10
SE PARK AVE,3,FFFFFF,EC008C,DART,13,,,13
6TH AVE,3,000000,F1E900,DART,15,,,15
BEAVER AVE,3,FFFFFF,6CADDE,DART,14,,,14
HUBBELL AVE / ALTOONA,3,FFFFFF,D18316,DART,17,,,17
DOUGLAS AVE,3,FFFFFF,910027,DART,16,,,16
EUCLID/DOUGLAS CROSSTOWN,3,FFFFFF,FF0000,DART,50,,,50
VALLEY WEST/JORDAN CREEK,3,000000,EBE729,DART,52,,,52
